unknown / non-applicable,less than $1 million (usd),$1 to $5 million (usd),$5 to $10 million (usd),$10 to $25 million (usd),$25 to $50 million (usd),$50 to $100 million (usd),$100 to $500 million (usd),$500 million to $1 billion (usd),$1 to $2 billion (usd),$2 to $5 billion (usd),$5 to $10 billion (usd),$10+ billion (usd)
4.263063063063062,4.314285714285714,4.18,3.4285714285714284,4.004545454545454,3.6333333333333333,3.8666666666666663,4.056666666666666,4.1,4.230555555555554,4.224324324324326,4.374418604651163,4.1206293706293575
4.0708333333333355,4.15,,4.7,4.2,3.561538461538462,3.1,3.75,,4.1,3.5666666666666664,,3.9843749999999996
4.188524590163934,3.2999999999999994,3.8666666666666667,,3.1375000000000006,3.4799999999999995,4.720000000000001,3.8850000000000002,3.533333333333333,3.633333333333333,3.5666666666666664,,4.0
4.028070175438596,,3.9,,,,4.2,,,3.0,3.8,3.3499999999999996,4.064864864864865
3.7052631578947373,,4.7,3.6800000000000006,,3.4,,,3.7,3.3470588235294105,4.1000000000000005,3.1,3.410714285714287
3.6615384615384623,3.8,,,4.9,,3.857142857142857,4.094736842105264,,,,,3.9000000000000004
4.156521739130433,,,,3.35,3.0,,3.66,,3.733333333333333,3.869230769230769,,3.85
4.458823529411766,,4.3,,,4.139999999999999,,3.9499999999999997,,4.4,,,
4.696296296296294,,,,,,4.7,3.775,,,,,4.15
4.266666666666667,,3.1,,3.7,,,2.9333333333333336,,,,,3.829411764705881
3.709090909090909,,,,2.8000000000000003,3.4,3.4,,,,,,
3.6999999999999997,,,,,,3.266666666666667,,,,3.766666666666667,,4.0
4.1875,,,,2.7999999999999994,,,,,,,3.5,
3.8,,4.0,,3.3,,,,4.3,4.5,,,
4.566666666666667,,,,,,,,,,,3.85,
4.0,,,,4.1,,2.8,,,,,,
,,,,,,,,,,3.9,,3.85
,,,,,,,,,,,,3.5
3.4,2.9,,,,,,,,,,,
,,,,,,,,,3.4,,,
,,,,,,,3.5,,,,,
5.0,,,,,,,,,,,,
