company,rating,headquarters,salary estimate,job type,size,type,sector,revenue
Indeed,4.3,"San Francisco, CA",209.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Indeed,4.3,"San Francisco, CA",143.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Abl Schools,4.1,"San Francisco, CA",140.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Amazon,3.8,"Palo Alto, CA",115.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",134.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",131.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",121.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",98.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",118.5,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",131.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",140.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",125.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",125.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",146.5,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",134.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",131.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",121.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",98.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",131.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
"Personalis, Inc",3.8,"Menlo Park, CA",118.5,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
BlackRock,4.1,"San Francisco, CA",125.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
Thermo Fisher - America,3.8,"San Francisco, CA",140.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",125.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
Walmart,3.4,"Sunnyvale, CA",135.0,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",146.5,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
"Raybeam, Inc.",4.8,"Mountain View, CA",61.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Blue Owl,4.8,"San Francisco, CA",115.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",112.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Plaid,4.6,"San Francisco, CA",164.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
