company,rating,job title,headquarters,salary estimate,job type,size,type,sector,revenue,job description
Indeed,4.3,Principal Data Scientist - Candidate Recommendations,"San Francisco, CA",209.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd),"Your Job
The Candidate Recommendations team builds machine learning models that recommend best-match candidates for jobs posted on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality candidate recommendations to employers globally.
As a Principal Data Scientist on the Candidate Recommendations team, you will:
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology"
Indeed,4.3,Senior Data Scientist - Moderation Engineering,"San Francisco, CA",143.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd),"Your Job
The Moderation Engineering team’s mission is to protect job seekers from exposure to fraudulent activity on indeed.com. You’ll work closely with other data scientists, engineers, and product managers embedded on our small cross-functional team to build the tools that all Indeed products use to keep our platform safe.

As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and build models using Indeed’s data to help keep job seekers safe. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
Abl Schools,4.1,Abl Schools | Data Scientist,"San Francisco, CA",140.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable,"Overview
Abl believes every student deserves the opportunity to make informed and meaningful choices about their life and future. Unfortunately, many students aren’t given the same opportunities due to systemic inequities. Abl offers advanced, data-driven software and services to help K12 schools and districts identify and remove those inequities. We are currently doing this work with some of the largest districts in the country, such as Los Angeles Unified, New York Dept of Ed, Portland Public Schools, Denver Public Schools, and the state of Washington.
The Abl team is made up of veteran school leaders, district-level decision-makers, and teachers working together with veteran software engineers, designers, and data scientists.
The Role:
We are looking for an experienced data scientist who will be a key innovator in leveraging data to provide robust recommendations and product features that positively impact students and teachers. Your contributions will have a meaningful impact on the lives of students across the country."
Amazon,3.8,Data Scientist - Nationwide Opportunities,"Palo Alto, CA",115.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd),"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
4+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations
Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.

This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered."
Thermo Fisher - America,3.8,Data Scientist III,"San Francisco, CA",134.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives."
Thermo Fisher - America,3.8,Staff Data Scientist,"San Francisco, CA",131.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives."
BlackRock,4.1,"Associate, Quantitative Researcher (Portfolio Modeling) - San Francisco, CA","San Francisco, CA",121.0,Full-time,10000+ employees,company - public,finance,$10+ billion (usd),"Description
About this role
Elevate your career by joining the world's largest asset manager! Thrive in an environment that fosters positive relationships and recognizes outstanding performance! We know you want to feel valued every single day and be recognized for your contribution. At BlackRock, we strive to empower our employees and effectively engage your involvement in our success.
BlackRock is one of the world's preeminent asset management firms and a premier provider of global investment management, risk management, and advisory services to institutional, intermediary, and individual investors around the world. BlackRock’s mission is to create a better financial future for our clients.
We are always looking for curious people with a strong background in writing code, excellent problem solving skills, and an insatiable appetite for learning and innovating. From the top of the firm down, we embrace the values, identities, and ideas brought by our employees.



We recruit, hire, train, promote, pay, and administer all personnel actions without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. We interpret these protected statuses broadly to include both the actual status and also any perceptions and assumptions made regarding these statuses.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law."
"Personalis, Inc",3.8,Bioinformatics Scientist – Cell-Free,"Menlo Park, CA",98.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd),"Personalis is a rapidly growing cancer genomics company transforming the development of next-generation therapies by providing more comprehensive molecular data about each patient's cancer and immune response. Our ImmunoID NeXT Platform® is enabling the development of next generation immuno-oncology therapeutics and diagnostics.
Summary:
You will work with a world-class, dynamic team of bioinformatics scientists, software engineers, and laboratory scientists, developing, testing, and applying cutting-edge cell-free cancer genomics products. Further, you will be working alongside our collaboration teams, applying our cell-free solutions to large cancer patient cohorts, profiling patient response to therapy with our exome-scale cfDNA platforms. Your work will directly contribute to a new generation of genomics-based precision-medicine products in immuno-oncology and cancer clinical trials, diagnostics, and therapeutics being used by pharma, biotech, hospitals, and clinicians.
Responsibilities:"
"Personalis, Inc",3.8,"Sr. Scientist, Product Development","Menlo Park, CA",118.5,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd),"Personalis is a rapidly growing cancer genomics company transforming the development of next-generation therapies by providing more comprehensive molecular data about each patient's cancer and immune response. Our ImmunoID NeXT Platform® is enabling the development of next generation immuno-oncology therapeutics and diagnostics.
Summary:
The Senior Scientist within the Process/Product Development group will support the development, optimization, validation and documentation of new or existing NGS-based IVD products in a regulated environment (FDA-QSR, CLIA, CAP, ISO regulations). The ideal candidate should be an enthusiastic, flexible team player with IVD product development experience.
Responsibilities:
Lead execution of development, verification, and validation studies for NGS-based IVD product.
Lead documentation effort to support QSR design control, functional specifications, performance and study results, and data management."
"Personalis, Inc",3.8,"Sr. Scientist, Assay R&D","Menlo Park, CA",131.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd),"Personalis is a rapidly growing cancer genomics company transforming the development of next-generation therapies by providing more comprehensive molecular data about each patient's cancer and immune response. Our ImmunoID NeXT Platform® is enabling the development of next generation immuno-oncology therapeutics and diagnostics.
Summary:
Our priority is to obtain the most accurate genetic data from each sample, and then to draw the most reliable medically-focused conclusions from these. Our tests are based on whole human genome and exome sequencing, conducted in our state-of-the art laboratory. We analyze results utilizing proprietary databases, advanced human reference sequences, and sophisticated algorithms.
You will work with a world-class, dynamic team of scientists, software engineers, assay developers, product managers, and clinicians applying our cutting-edge cancer and immuno-oncology solutions to plan, execute, analyze, and interpret impactful collaborative R&D projects. You will provide direct hands-on operation of next generation sequencing equipment and create sequencing libraries from real-world samples to develop and validate novel products. Your work will contribute to a new generation of genomics-based precision medicine products in immuno-oncology and cancer clinical trials, diagnostics, and therapeutics being used by pharma, biotech, hospitals and clinicians."
